"","date","lag1","lag2","lag3","lag4","lag1cum","lag2cum","lag3cum","lag4cum"
"43",2003-10-01,0.000229143918276551,0.00016493759823383,0.000180468681532378,0.00079802088209453,0.00229926945148234,0.00218979806671334,0.00213659363744346,0.00998452462161193
"44",2003-11-01,0.000101445631080936,9.54035862375911e-05,0.000113761340867316,0.000961999306515744,0.00240071508256328,0.00228520165295093,0.00225035497831077,0.0109465239281277
"45",2003-12-01,3.7924637678879e-05,3.98291115010701e-05,6.10396722440859e-05,0.000439490021493118,0.00243863972024216,0.002325030764452,0.00231139465055486,0.0113860139496208
"46",2004-01-01,5.11854848067354e-05,3.52564804598275e-05,2.17654397632032e-05,0.000177460831029386,0.00248982520504889,0.00236028724491183,0.00233316009031806,0.0115634747806502
"47",2004-02-01,5.41235527044043e-11,5.61647721976069e-06,4.42539717409991e-06,2.55547482035768e-05,0.00248982525917244,0.00236590372213159,0.00233758548749216,0.0115890295288538
"48",2004-03-01,4.97455150219924e-05,4.38463232895214e-05,3.86567570489937e-05,0.000170191511559668,0.00253957077419444,0.00240975004542111,0.00237624224454116,0.0117592210404134
"49",2004-04-01,2.86979629301874e-06,9.42815618724448e-07,4.43572312780097e-07,6.26979246234445e-06,0.00254244057048745,0.00241069286103983,0.00237668581685394,0.0117654908328758
"50",2004-05-01,2.98188696019396e-05,2.2729043360993e-05,2.49073162691685e-05,3.7205226995908e-05,0.00257225944008939,0.00243342190440083,0.00240159313312311,0.0118026960598717
"51",2004-06-01,1.73819842611526e-06,4.06697330045267e-05,4.96877497012651e-05,0.000103603662914372,0.00257399763851551,0.00247409163740535,0.00245128088282437,0.011906299722786
"52",2004-07-01,3.14570476336887e-06,7.00482531421367e-07,1.3626631683719e-06,1.2519245902996e-06,0.00257714334327888,0.00247479211993677,0.00245264354599274,0.0119075516473763
"53",2004-08-01,4.45234872831567e-05,4.34455839793644e-05,4.91254861002944e-05,0.000453994316768321,0.00262166683056203,0.00251823770391614,0.00250176903209304,0.0123615459641447
"54",2004-09-01,7.40302355670065e-08,2.13756822191867e-07,2.47783028867391e-07,4.0200734140079e-07,0.0026217408607976,0.00251845146073833,0.0025020168151219,0.0123619479714861
"55",2004-10-01,1.815809756002e-05,1.08134881979533e-05,1.2448223228598e-05,9.03026074564778e-05,0.00263989895835762,0.00252926494893628,0.0025144650383505,0.0124522505789425
"56",2004-11-01,7.98018320519898e-06,1.84976312559872e-06,5.59501586912687e-07,8.78916381498885e-09,0.00264787914156282,0.00253111471206188,0.00251502453993741,0.0124522593681064
"57",2004-12-01,3.22808161807705e-05,1.60989458221852e-05,2.12241534717536e-05,3.79156347705571e-05,0.00268015995774359,0.00254721365788407,0.00253624869340917,0.0124901750028769
"58",2005-01-01,0.000125896392128324,5.5589408748037e-05,6.32867257007428e-05,0.000515300268698165,0.00280605634987192,0.0026028030666321,0.00259953541910991,0.0130054752715751
"59",2005-02-01,3.3468754087439e-05,1.70749467662316e-05,1.96286176851824e-05,0.00012440764421382,0.00283952510395935,0.00261987801339834,0.00261916403679509,0.0131298829157889
"60",2005-03-01,3.91740601559821e-05,2.97790789139873e-05,3.60929974257464e-05,0.000320413788275351,0.00287869916411534,0.00264965709231232,0.00265525703422084,0.0134502967040643
"61",2005-04-01,8.95022701622886e-05,0.000119050992395934,9.28436736085965e-05,0.000262483024177025,0.00296820143427762,0.00276870808470826,0.00274810070782944,0.0137127797282413
"62",2005-05-01,9.14532376408896e-05,0.000103343406293107,0.000124885753007295,0.000660593259830746,0.00305965467191851,0.00287205149100136,0.00287298646083673,0.014373372988072
"63",2005-06-01,7.08308826948618e-05,4.29213536415469e-05,4.12649680574032e-05,0.000251148200957844,0.00313048555461338,0.00291497284464291,0.00291425142889413,0.0146245211890299
"64",2005-07-01,1.66111643932943e-05,4.35325015914789e-06,3.93722651411603e-06,3.03993469155295e-05,0.00314709671900667,0.00291932609480206,0.00291818865540825,0.0146549205359454
"65",2005-08-01,1.80121135197532e-06,6.8033846133315e-06,6.9285745496305e-06,2.13080341031056e-05,0.00314889793035865,0.00292612947941539,0.00292511722995788,0.0146762285700485
"66",2005-09-01,4.512004896692e-05,1.02944027617182e-05,2.35557319691921e-05,0.000390693903838467,0.00319401797932557,0.00293642388217711,0.00294867296192707,0.015066922473887
"67",2005-10-01,0.000247220811577936,0.000331889654813488,0.000319248471471216,0.00136742735899839,0.0034412387909035,0.0032683135369906,0.00326792143339829,0.0164343498328854
"68",2005-11-01,0.000313135371387175,0.000206433882322942,0.000197756371502876,0.00141376219994149,0.00375437416229068,0.00347474741931354,0.00346567780490117,0.0178481120328269
"69",2005-12-01,0.000105636793617647,0.000123892407453383,0.000220935983199085,0.00144237890146922,0.00386001095590832,0.00359863982676692,0.00368661378810025,0.0192904909342961
"70",2006-01-01,7.04325497326531e-06,9.98104978963232e-06,8.44592172717136e-06,0.000288968873860968,0.00386705421088159,0.00360862087655655,0.00369505970982742,0.019579459808157
"71",2006-02-01,2.0326800136099e-05,1.18685815376542e-05,8.44099144540092e-06,2.87270125547825e-05,0.00388738101101769,0.00362048945809421,0.00370350070127282,0.0196081868207118
"72",2006-03-01,0.000166611058710408,0.000181484492456767,0.000181085800023184,0.000624175134778071,0.0040539920697281,0.00380197395055097,0.00388458650129601,0.0202323619554899
"73",2006-04-01,7.35453914389492e-09,3.45555995641246e-06,1.21195796631186e-06,6.5290749288528e-05,0.00405399942426724,0.00380542951050739,0.00388579845926232,0.0202976527047784
"74",2006-05-01,2.47708421829835e-05,2.27133052211169e-05,3.06232274722788e-05,9.01841726739509e-05,0.00407877026645022,0.0038281428157285,0.0039164216867346,0.0203878368774524
"75",2006-06-01,1.3772499367417e-05,1.08458739730656e-05,1.58416164528412e-05,6.93640441337311e-06,0.00409254276581764,0.00383898868970157,0.00393226330318744,0.0203947732818657
"76",2006-07-01,5.60744660870201e-06,2.86089875598677e-06,1.09933712854307e-06,1.48005239613762e-05,0.00409815021242634,0.00384184958845756,0.00393336264031598,0.0204095738058271
"77",2006-08-01,1.91552203446311e-05,2.48850363592348e-05,1.74722793119703e-05,0.000143922274362967,0.00411730543277097,0.00386673462481679,0.00395083491962795,0.0205534960801901
"78",2006-09-01,0.000187123807117492,0.000114628100615197,0.000101741630237158,0.000725156660546396,0.00430442923988847,0.00398136272543199,0.00405257654986511,0.0212786527407365
"79",2006-10-01,0.000148821452353655,0.000116652317296544,0.000133243357236139,0.000625675474341548,0.00445325069224212,0.00409801504272853,0.00418581990710125,0.021904328215078
"80",2006-11-01,7.79158105041605e-05,4.56985267821368e-05,6.2997400065527e-05,0.000523653393755747,0.00453116650274628,0.00414371356951067,0.00424881730716678,0.0224279816088338
"81",2006-12-01,1.06398604458623e-05,3.62143959381587e-06,1.7190645103119e-06,7.2616783170323e-06,0.00454180636319214,0.00414733500910448,0.00425053637167709,0.0224352432871508
"82",2007-01-01,7.7408586261275e-08,2.24905979039212e-07,1.09323270307138e-06,1.16302262825753e-07,0.00454188377177841,0.00414755991508352,0.00425162960438016,0.0224353595894136
"83",2007-02-01,2.88445027322063e-05,5.43737252397687e-06,3.98549439240025e-07,9.06200467675821e-06,0.00457072827451061,0.0041529972876075,0.0042520281538194,0.0224444215940904
"84",2007-03-01,1.5232404541983e-07,3.68098028802419e-06,2.4434278099359e-06,2.06884502856339e-06,0.00457088059855603,0.00415667826789552,0.00425447158162934,0.022446490439119
"85",2007-04-01,1.72031018348413e-05,1.05643998678457e-05,6.11435513424985e-06,3.12306029528222e-05,0.00458808370039087,0.00416724266776337,0.00426058593676359,0.0224777210420718
"86",2007-05-01,1.19523249880052e-05,9.82849136276393e-06,4.78835811485024e-06,6.23358527336461e-05,0.00460003602537888,0.00417707115912613,0.00426537429487844,0.0225400568948054
"87",2007-06-01,1.81056610097318e-06,6.90371696544201e-08,3.51792788181501e-07,3.91841539431707e-05,0.00460184659147985,0.00417714019629579,0.00426572608766662,0.0225792410487486
"88",2007-07-01,1.65351633394931e-05,1.7422081328749e-05,1.62515644464873e-05,7.98120200291305e-05,0.00461838175481934,0.00419456227762454,0.00428197765211311,0.0226590530687777
"89",2007-08-01,1.76701470806224e-05,9.01178627868394e-06,7.8088955128831e-06,2.79018699259679e-05,0.00463605190189997,0.00420357406390322,0.00428978654762599,0.0226869549387037
"90",2007-09-01,3.2221441436527e-07,1.64030207777367e-06,7.81767638102047e-07,6.01080441993187e-05,0.00463637411631433,0.004205214365981,0.00429056831526409,0.022747062982903
"91",2007-10-01,1.73888342069772e-05,5.06539747301352e-06,1.00377622262968e-05,2.03460813269266e-05,0.00465376295052131,0.00421027976345401,0.00430060607749039,0.0227674090642299
"92",2007-11-01,5.9614200473297e-05,6.98202859413167e-05,9.13391590162654e-05,0.000388607768915292,0.00471337715099461,0.00428010004939533,0.00439194523650665,0.0231560168331452
"93",2007-12-01,9.23652085761535e-06,2.31575427068287e-05,2.3657016318168e-05,1.90458276945554e-05,0.00472261367185222,0.00430325759210215,0.00441560225282482,0.0231750626608398
"94",2008-01-01,4.05227987170901e-05,4.24160864820569e-05,6.33236113463493e-05,0.000148136253342836,0.00476313647056931,0.00434567367858421,0.00447892586417117,0.0233231989141826
"95",2008-02-01,6.50923194930171e-06,8.74339536012976e-06,1.13778888999141e-05,0.000115394629905422,0.00476964570251861,0.00435441707394434,0.00449030375307108,0.023438593544088
"96",2008-03-01,8.32881481380522e-05,4.81515028808869e-05,3.57361483239725e-05,0.000103097829096975,0.00485293385065667,0.00440256857682523,0.00452603990139506,0.023541691373185
"97",2008-04-01,1.51454730269786e-06,3.45854743053174e-06,6.02648279574885e-08,8.04399062895147e-06,0.00485444839795936,0.00440602712425576,0.00452610016622301,0.023549735363814
"98",2008-05-01,1.66813318616991e-05,2.93803276160541e-06,1.75318249217133e-06,4.40005205827079e-05,0.00487112972982106,0.00440896515701737,0.00452785334871518,0.0235937358843967
"99",2008-06-01,3.09990174937231e-05,2.76098581036808e-05,2.79000231709262e-05,0.000272212727602685,0.00490212874731479,0.00443657501512105,0.00455575337188611,0.0238659486119994
"100",2008-07-01,0.000127397313085041,9.84887486356062e-05,0.000114153339706458,0.000665205221169738,0.00502952606039983,0.00453506376375665,0.00466990671159257,0.0245311538331691
"101",2008-08-01,1.37691496224657e-05,4.8011037216506e-06,9.28115495424016e-06,2.51803483253548e-05,0.00504329521002229,0.0045398648674783,0.00467918786654681,0.0245563341814945
"102",2008-09-01,2.14595283907049e-06,3.68200612381694e-06,3.51257120355331e-05,0.000305717922242385,0.00504544116286136,0.00454354687360212,0.00471431357858234,0.0248620521037368
"103",2008-10-01,0.00026110409560627,0.000235333671373649,0.000297536601163477,0.00107905338049542,0.00530654525846763,0.00477888054497577,0.00501185017974582,0.0259411054842323
"104",2008-11-01,0.00142552406769238,0.00122341674651898,0.0012291883751466,0.0057030499372718,0.00673206932616002,0.00600229729149475,0.00624103855489242,0.0316441554215041
"105",2008-12-01,2.60306577377116e-05,0.000160908612412805,0.000161339682750825,1.24886755124243e-07,0.00675809998389773,0.00616320590390756,0.00640237823764324,0.0316442803082592
"106",2009-01-01,5.42734564876912e-05,2.00534319914652e-05,1.96092362248464e-05,0.000145876190229615,0.00681237344038542,0.00618325933589902,0.00642198747386809,0.0317901564984888
"107",2009-02-01,2.68831402952692e-05,7.83261600472543e-05,4.06764624466574e-05,0.000253414097603489,0.00683925658068069,0.00626158549594628,0.00646266393631475,0.0320435705960923
"108",2009-03-01,7.54070224509405e-06,1.68529129679202e-05,6.67725775337134e-06,3.24375218611443e-05,0.00684679728292578,0.0062784384089142,0.00646934119406812,0.0320760081179534
"109",2009-04-01,3.41499845052355e-05,5.51278304879881e-06,7.26339200601978e-07,4.18237393699689e-06,0.00688094726743102,0.006283951191963,0.00647006753326872,0.0320801904918904
